Ejercicio_descripcion,Punto1,Punto2,Valor_Real,Valor_Aproximado,Error_Absoluto,Error_relatico,Error_Propagado
A1 representacion de error en los datos,2022 - Enero,N/A,822.05,820.0,[2.04],[0.24],N/A
A1 representacion de error en los datos,2022 - Febrero,N/A,807.07,810.0,[2.92],[0.36],N/A
A1 representacion de error en los datos,2022 - Marzo,N/A,799.19,800.0,[0.8],[0.1],N/A
A1 representacion de error en los datos,2022 - Abril,N/A,815.12,820.0,[4.87],[0.59],N/A
A1 representacion de error en los datos,2022 - Mayo,N/A,849.39,850.0,[0.61],[0.07],N/A
A1 representacion de error en los datos,2022 - Junio,N/A,857.77,860.0,[2.23],[0.25],N/A
A1 representacion de error en los datos,2022 - Julio,N/A,953.71,950.0,[3.71],[0.38],N/A
A1 representacion de error en los datos,2022 - Agosto,N/A,904.35,900.0,[4.35],[0.48],N/A
A1 representacion de error en los datos,2022 - Septiembre,N/A,921.01,920.0,[1.],[0.1],N/A
A1 representacion de error en los datos,2022 - Octubre,N/A,955.89,960.0,[4.11],[0.42],N/A
A1 representacion de error en los datos,2022 - Noviembre,N/A,917.05,920.0,[2.95],[0.32],N/A
A1 representacion de error en los datos,2022 - Diciembre,N/A,875.66,880.0,[4.34],[0.49],N/A
A1 representacion de error en los datos,2023 - Enero,N/A,826.34,830.0,[3.65],[0.44],N/A
A1 representacion de error en los datos,2023 - Febrero,N/A,798.26,800.0,[1.74],[0.21],N/A
A1 representacion de error en los datos,2023 - Marzo,N/A,809.5,810.0,[0.5],[0.06],N/A
A1 representacion de error en los datos,2023 - Abril,N/A,803.84,800.0,[3.84],[0.47],N/A
A1 representacion de error en los datos,2023 - Mayo,N/A,798.64,800.0,[1.36],[0.17],N/A
A1 representacion de error en los datos,2023 - Junio,N/A,799.87,800.0,[0.12],[0.01],N/A
A1 representacion de error en los datos,2023 - Julio,N/A,813.4,810.0,[3.39],[0.41],N/A
A1 representacion de error en los datos,2023 - Agosto,N/A,855.66,860.0,[4.34],[0.5],N/A
A1 representacion de error en los datos,2023 - Septiembre,N/A,884.4,880.0,[4.39],[0.49],N/A
A1 representacion de error en los datos,2023 - Octubre,N/A,926.35,930.0,[3.64],[0.39],N/A
A1 representacion de error en los datos,2023 - Noviembre,N/A,886.61,890.0,[3.38],[0.38],N/A
A1 representacion de error en los datos,2023 - Diciembre,N/A,874.67,870.0,[4.66],[0.53],N/A
A1 representacion de error en los datos,2024 - Enero,N/A,907.99,910.0,[2.],[0.22],N/A
A1 representacion de error en los datos,2024 - Febrero,N/A,963.44,960.0,[3.44],[0.35],N/A
A1 representacion de error en los datos,2024 - Marzo,N/A,967.93,970.0,[2.07],[0.21],N/A
A1 representacion de error en los datos,2024 - Abril,N/A,960.14,960.0,[0.13],[0.01],N/A
A1 representacion de error en los datos,2024 - Mayo,N/A,917.88,920.0,[2.12],[0.23],N/A
A1 representacion de error en los datos,2024 - Junio,N/A,926.08,930.0,[3.91],[0.42],N/A
A1 representacion de error en los datos,2024 - Julio,N/A,937.56,940.0,[2.44],[0.26],N/A
A1 representacion de error en los datos,2024 - Agosto,N/A,929.9,930.0,[0.1],[0.01],N/A
A1 representacion de error en los datos,2024 - Septiembre,N/A,926.21,930.0,[3.78],[0.4],N/A
A1 representacion de error en los datos,2024 - Octubre,N/A,933.81,930.0,[3.8],[0.4],N/A
A1 representacion de error en los datos,2024 - Noviembre,N/A,971.6,970.0,[1.6],[0.16],N/A
A1 representacion de error en los datos,2024 - Diciembre,N/A,982.3,980.0,[2.29],[0.23],N/A
A1 representacion de error en los datos,2025 - Enero,N/A,1000.76,1000.0,[0.75],[0.07],N/A
A1 representacion de error en los datos,2025 - Febrero,N/A,956.62,960.0,[3.37],[0.35],N/A
A1 representacion de error en los datos,2025 - Marzo,N/A,932.55,930.0,[2.54],[0.27],N/A
A1 representacion de error en los datos,2025 - Abril,N/A,961.96,960.0,[1.96],[0.2],N/A
A1 representacion de error en los datos,2025 - Mayo,N/A,941.01,940.0,[1.],[0.1],N/A
A1 representacion de error en los datos,2025 - Junio,N/A,938.04,940.0,[1.96],[0.2],N/A
A1 representacion de error en los datos,2025 - Julio,N/A,951.55,950.0,[1.54],[0.16],N/A
A1 representacion de error en los datos,2025 - Agosto,N/A,966.3,970.0,[3.7],[0.38],N/A
A1 representacion de error en los datos,2025 - Septiembre,N/A,960.37,960.0,[0.37],[0.03],N/A
